36,6;34,45;51,49;21,51;43,41
49,6;34,48;58,51;26,53;47,39
55,4;13,45;52,51;31,51;47,38
54,21;4,43;46,49;32,48;41,35
57,21;2,39;43,48;33,68;36,35
57,8;1,42;41,45;32,62;31,37
59,6;30,44;54,39;32,53;29,37
71,4;53,45;67,38;29,54;31,41
66,3;60,64;66,45;21,53;30,51
64,22;63,42;62,52;15,44;27,67
63,16;64,41;60,52;13,40;23,76
61,13;65,44;59,53;12,34;22,79
60,12;65,49;64,45;22,36;24,63
56,10;35,51;55,35;31,45;28,58
42,8;13,50;46,41;38,52;29,72
29,3;5,41;43,62;43,65;32,40
18,8;3,38;45,65;48,66;38,51
9,18;12,40;52,72;52,65;49,68
20,27;27,35;65,76;53,64;60,73
37,32;30,38;67,77;44,59;65,73
52,24;31,20;65,56;36,51;62,71
67,21;31,28;66,53;31,51;62,68
81,15;32,27;66,47;28,46;57,65
94,13;32,38;65,46;29,54;50,62
100,12;21,27;60,46;32,51;40,59
85,12;5,31;49,40;36,51;29,50
68,13;2,17;42,47;37,64;23,44
53,9;1,34;37,53;37,64;18,54
38,6;7,39;33,59;36,60;11,54
24,8;50,33;51,58;34,58;8,56
12,10;64,35;53,57;29,58;7,58
5,18;67,61;51,62;24,50;6,52
4,29;69,39;49,47;20,50;5,35
2,26;70,48;48,55;17,46;5,40
17,33;72,53;53,54;16,41;9,36
34,29;68,48;59,54;19,46;14,49
40,23;26,55;41,61;23,53;20,62
